R
0.7
2.0999999999999996
HV
15
15
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
plexiglasswalls
1.05 0.35	1.05 2.45
1.05 3.15	1.05 5.25
1.05 5.95	1.05 8.05
1.05 8.75	1.05 10.50
2.45 0.35	2.45 2.45
2.45 3.15	2.45 5.25
2.45 5.95	2.45 8.05
2.45 8.75	2.45 10.50
3.85 0.35	3.85 2.45
3.85 3.15	3.85 5.25
3.85 5.95	3.85 8.05
3.85 8.75	3.85 10.50
5.25 0.35	5.25 2.45
5.25 3.15	5.25 5.25
5.25 5.95	5.25 8.05
5.25 8.75	5.25 10.50
6.65 0.35	6.65 2.45
6.65 3.15	6.65 5.25
6.65 5.95	6.65 8.05
6.65 8.75	6.65 10.50
8.05 0.35	8.05 2.45
8.05 3.15	8.05 5.25
8.05 5.95	8.05 8.05
8.05 8.75	8.05 10.50
9.45 0.35	9.45 2.45
9.45 3.15	9.45 5.25
9.45 5.95	9.45 8.05
9.45 8.75	9.45 10.50
endplex
boundarywalls
endbound
